id,obj_1,obj_2,obj_3,odd,reason_for_similarity,obj_4
2996,Hakeem Olajuwon,Charles Barkley,Clyde Drexler,Allen Iverson,The others played for the Houston Rockets,Allen Iverson
2997,Steve Nash,Michael Finley,Tracy McGrady,Tracy McGrady,The others played for the Dallas Mavericks,Dirk Nowitzki
2998,Scottie Pippen,Gary Payton,Detlef Schrempf,Scottie Pippen,The others played for the Seattle Supersonics,Shawn Kemp
2999,Kevin McHale,Robert Parish,Magic Johnson,Magic Johnson,The others played for the Boston Celtics,Larry Bird
3000,Peja Stojakovic,Mike Bibby,Chris Webber,Ray Allen,The others played for the Sacramento Kings,Ray Allen
3001,Isiah Thomas,Dennis Rodman,Joe Dumars,Michael Jordan,The others played for the Detroit Pistons,Michael Jordan
3002,Charles Barkley,Jeff Hornacek,Karl Malone,Charles Barkley,The others played for the Utah Jazz,John Stockton
3003,Chris Bosh,LeBron James,Carmelo Anthony,Carmelo Anthony,The others won a championship with the Miami Heat,Dwyane Wade
3004,Tim Duncan,Shaquille O'Neal,Pau Gasol,Tim Duncan,The others won a championship with the Los Angeles Lakers,Kobe Bryant
3005,Shaquille O'Neal,Chris Webber,Dikembe Mutombo,Shaquille O'Neal,The others played for the Philadelphia 76ers,Allen Iverson
3006,Magic Johnson,James Worthy,Larry Bird,Larry Bird,"The others were part of the Los Angeles Lakers' ""Showtime"" era",Kareem Abdul-Jabbar
3007,Tony Parker,Manu Ginobili,Tim Duncan,Kobe Bryant,"The others were part of the San Antonio Spurs' ""Big Three"" era",Kobe Bryant
3008,Mickey Mantle,Derek Jeter,Mike Trout,Mike Trout,The others played for the Yankees,Babe Ruth
3009,Ted Williams,Joe DiMaggio,David Ortiz,Joe DiMaggio,The others played for the Red Sox,Carl Yastrzemski
3010,Cal Ripken Jr.,Jim Palmer,Brooks Robinson,Jim Palmer,The others are position players,Frank Robinson
3011,Barry Bonds,Hank Aaron,Willie Mays,Ty Cobb,The others are members of the 500 Home Run Club,Ty Cobb
3012,Rollie Fingers,Yogi Berra,Reggie Jackson,Yogi Berra,The others played for the A's,Catfish Hunter
3013,Randy Johnson,Nolan Ryan,Derek Jeter,Derek Jeter,The others are pitchers,Sandy Koufax
3014,Roberto Clemente,Willie Stargell,Cal Ripken Jr.,Cal Ripken Jr.,The others played for the Pirates,Honus Wagner
3015,Alex Rodriguez,Edgar Martinez,Ichiro Suzuki,Alex Rodriguez,The others played for the Mariners,Ken Griffey Jr.
3016,Steve Carlton,Pete Rose,Joe Morgan,Joe Morgan,The others played for the Phillies,Mike Schmidt
3017,Tony Perez,Johnny Bench,Pete Rose,Ken Griffey Sr.,The others are members of the Big Red Machine,Ken Griffey Sr.
3018,Hank Greenberg,Ty Cobb,Al Kaline,Mickey Mantle,The others played for the Tigers,Mickey Mantle
3019,Barry Bonds,Hank Aaron,Willie Mays,Hank Aaron,The others played for the Giants,Willie McCovey
3020,Harmon Killebrew,Kirby Puckett,Rod Carew,Joe Mauer,The others are Hall of Famers,Joe Mauer
3021,Evander Holyfield,Joe Frazier,Sonny Liston,Evander Holyfield,The others lost to Muhammad Ali,George Foreman
3022,Bernard Hopkins,Joe Calzaghe,Roy Jones Jr.,Gennady Golovkin,The others have been undisputed champions,Gennady Golovkin
3023,Wladimir Klitschko,Anthony Joshua,Vitali Klitschko,Tyson Fury,The others are Olympic medalists,Tyson Fury
3024,Oscar De La Hoya,Manny Pacquiao,Floyd Mayweather,Vasiliy Lomachenko,The others have won titles in six different weight classes,Vasiliy Lomachenko
3025,Joe Frazier,George Foreman,Larry Holmes,Larry Holmes,The others have won an Olympic gold medal,Muhammad Ali
3026,Christopher Nolan,Ingmar Bergman,Danny Boyle,Ingmar Bergman,The others are British directors.,Sam Mendes
3027,Peter Weir,Guillermo del Toro,Alejandro González Iñárritu,Peter Weir,The others are Mexican directors.,Alfonso Cuarón
3028,Sergio Leone,Stanley Kubrick,Buster Keaton,Sergio Leone,The others have directed and acted in their own films.,Charlie Chaplin
3029,Brian De Palma,Hayao Miyazaki,John Carpenter,Hayao Miyazaki,The others are known for their horror films.,George A. Romero
3030,Yasujirō Ozu,Sam Raimi,Tim Burton,Yasujirō Ozu,The others have directed fantasy films.,Peter Jackson
3031,Ron Howard,Federico Fellini,Oliver Stone,Federico Fellini,The others are directors who have also produced TV shows.,Michael Mann
3032,David Lynch,Lars von Trier,Akira Kurosawa,Akira Kurosawa,The others are directors who have made surreal films.,Terry Gilliam
3033,Christopher Nolan,David Fincher,Darren Aronofsky,Jean-Luc Godard,The others are directors known for their psychological thrillers.,Jean-Luc Godard
3034,Gus Van Sant,Sofia Coppola,Richard Linklater,Pedro Almodóvar,The others are directors who have made films about adolescence.,Pedro Almodóvar
3092,Descartes,Pascal,Voltaire,Nietzsche,The others are French philosophers,Nietzsche
3035,Hayao Miyazaki,Martin Scorsese,Francis Ford Coppola,Hayao Miyazaki,The others are directors associated with New Hollywood.,Brian De Palma
3036,Guy Ritchie,Quentin Tarantino,Yasujirō Ozu,Yasujirō Ozu,The others are directors known for their use of non-linear storytelling.,Martin McDonagh
3037,James Cameron,Steven Spielberg,George Lucas,Jean Renoir,The others are directors who have created successful film franchises.,Jean Renoir
3038,Harry Kane,Dani Alves,Mohamed Salah,Dani Alves,The others play in the Premier League,Pierre-Emerick Aubameyang
3039,Andres Iniesta,Karim Benzema,Xavi,Karim Benzema,The others played for Barcelona,Sergio Busquets
3040,Arjen Robben,Thomas Muller,Eden Hazard,Eden Hazard,The others played for Bayern Munich,Franck Ribery
3041,Angel Di Maria,N'Golo Kante,Neymar,N'Golo Kante,The others play for Paris Saint-Germain,Kylian Mbappe
3042,Sergio Aguero,Raheem Sterling,Gabriel Jesus,Trent Alexander-Arnold,The others play for Manchester City,Trent Alexander-Arnold
3043,Luis Suarez,Neymar,Lionel Messi,Antoine Griezmann,The others are South American,Antoine Griezmann
3044,Sadio Mane,Virgil van Dijk,Paul Pogba,Paul Pogba,The others play for Liverpool,Mohamed Salah
3045,Mason Mount,Harry Kane,Son Heung-min,Mason Mount,The others play for Tottenham Hotspur,Dele Alli
3046,Alphonso Davies,Kingsley Coman,Jadon Sancho,Jadon Sancho,The others play for Bayern Munich,Robert Lewandowski
3047,Christian Pulisic,Mason Mount,N'Golo Kante,Pierre-Emerick Aubameyang,The others play for Chelsea,Pierre-Emerick Aubameyang
3048,Marcus Rashford,Paul Pogba,Phil Foden,Phil Foden,The others play for Manchester United,Bruno Fernandes
3049,Marco Reus,Erling Haaland,Jadon Sancho,Kai Havertz,The others play for Borussia Dortmund,Kai Havertz
3050,Cristiano Ronaldo,Paulo Dybala,Alvaro Morata,Romelu Lukaku,The others play for Juventus,Romelu Lukaku
3051,Sonia Sotomayor,Sandra Day O'Connor,Elena Kagan,Amy Coney Barrett,The others are Supreme Court Justices appointed by a Democratic president,Amy Coney Barrett
3052,Amy Coney Barrett,Neil Gorsuch,Ruth Bader Ginsburg,Ruth Bader Ginsburg,The others were appointed by President Trump,Brett Kavanaugh
3053,Black Belt,Green Lantern,Red Belt,Green Lantern,The others are martial arts belt colors,Yellow Belt
3054,Enter the Dragon,Rocky,Kung Fu Panda,Rocky,The others are movies about martial arts,Karate Kid
3055,Sting,Bono,Adam Clayton,Sting,The others are members of U2,The Edge
3056,Steven Van Zandt,Bruce Springsteen,Tom Petty,Tom Petty,The others are members of The E Street Band,Clarence Clemons
3057,Jim Morrison,Art Garfunkel,Bob Dylan,Jim Morrison,The others are folk musicians,Paul Simon
3058,Stevie Wonder,Mick Jagger,Billy Joel,Mick Jagger,The others are pianists,Elton John
3059,Jerry Garcia,Neil Young,Bob Weir,Neil Young,The others are members of The Grateful Dead,Phil Lesh
3060,Ray Manzarek,Jimi Hendrix,Robby Krieger,Jimi Hendrix,The others are members of The Doors,John Densmore
3061,Sid Vicious,Johnny Ramone,Dee Dee Ramone,Sid Vicious,The others are members of The Ramones,Joey Ramone
3062,Brian Johnson,Malcolm Young,Angus Young,Eddie Van Halen,The others are members of AC/DC,Eddie Van Halen
3063,Alex Lifeson,Neil Peart,John Bonham,John Bonham,The others are members of Rush,Geddy Lee
3064,Geezer Butler,Robert Plant,Tony Iommi,Robert Plant,The others are members of Black Sabbath,Ozzy Osbourne
3065,Jackson Pollock,Egon Schiele,Gustav Klimt,Jackson Pollock,The others are Austrian Expressionists,Oskar Kokoschka
3066,Domenico Ghirlandaio,Andrea del Verrocchio,Georgia O'Keeffe,Georgia O'Keeffe,The others are Italian Early Renaissance artists,Sandro Botticelli
3067,Grant Wood,Piet Mondrian,Edward Hopper,Piet Mondrian,The others are American Realists,Thomas Hart Benton
3068,Jean-Michel Basquiat,Keith Haring,James Whistler,James Whistler,The others are American Neo-Expressionists,Kenny Scharf
3069,Francis Bacon,Lucian Freud,David Hockney,Mary Cassatt,The others are British Post-War painters,Mary Cassatt
3070,Chris Ofili,Tracey Emin,Damien Hirst,Norman Rockwell,The others are British Young British Artists,Norman Rockwell
3072,Georgia O'Keeffe,Salvador Dali,Frida Kahlo,Salvador Dali,The others are Female painters,Mary Cassatt
3073,Edgar Degas,Rogier van der Weyden,Hans Memling,Edgar Degas,The others are Flemish Primitives,Jan van Eyck
3074,Joan Miró,Anselm Kiefer,Gerhard Richter,Joan Miró,The others are German Neo-Expressionists,Sigmar Polke
3075,Jasper Johns,Diego Rivera,Robert Rauschenberg,Diego Rivera,The others are American Abstract Expressionists,Frank Stella
3076,Theo van Doesburg,Piet Mondrian,Kasimir Malevich,Edouard Manet,The others are Founders of abstract movements,Edouard Manet
3077,Umberto Boccioni,Amedeo Modigliani,Giorgio de Chirico,Claude Monet,The others are Italian Modernists,Claude Monet
3078,François Boucher,Jean-Baptiste Greuze,Jean-Honoré Fragonard,Pablo Picasso,The others are French Rococo painters,Pablo Picasso
3079,Thomas Gainsborough,Marc Chagall,John Constable,Marc Chagall,The others are English Romantic painters,J.M.W. Turner
3080,Cimabue,Giotto,Duccio,Gustav Klimt,The others are Italian Gothic painters,Gustav Klimt
3081,Jean-Auguste-Dominique Ingres,Piet Mondrian,Jacques-Louis David,Piet Mondrian,The others are French Neoclassicists,Nicolas Poussin
3082,Marx,Hegel,Kant,Marx,The others are German Idealists,Nietzsche
3083,Confucius,Mozi,Laozi,Sartre,The others are Ancient Chinese philosophers,Sartre
3084,Rousseau,Spinoza,Hobbes,Spinoza,The others are Social Contract theorists,Locke
3085,Diderot,Rousseau,Berkeley,Berkeley,The others are philosophers of the French Enlightenment,Voltaire
3086,Wittgenstein,Nietzsche,Heidegger,Wittgenstein,The others are philosophers who influenced Existentialism,Schopenhauer
3087,Derrida,Russell,Foucault,Russell,The others are Post-structuralist philosophers,Deleuze
3088,Hume,Descartes,Kant,Sartre,The others are philosophers who made significant contributions to Epistemology,Sartre
3089,Aristotle,Kant,Maimonides,Kant,The others are philosophers who integrated philosophy and theology,Aquinas
3091,Kierkegaard,Hegel,Marx,Kierkegaard,The others are philosophers of Dialectics,Engels
3090,Mao,Marx,Nietzsche,Nietzsche,The others are associated with Communism,Lenin
3093,Dworkin,Foucault,Nozick,Foucault,The others are philosophers of Justice,Rawls
3094,Zeno,Epicurus,Kant,Kant,The others are philosophers of Stoicism,Seneca
3095,Schelling,Hegel,Kant,Nietzsche,The others are philosophers of German Idealism,Nietzsche
3096,De Beauvoir,Sartre,Russell (philosopher),Russell (philosopher),The others are philosophers of Existentialism,Camus
3097,Nietzsche,Wittgenstein,Russell,Nietzsche,The others are philosophers of Analytic philosophy,Moore
3098,Socrates,Plato,Kant,Kant,The others are philosophers from the Ancient period,Aristotle
3099,Hume,Leibniz,Descartes,Hume,The others are philosophers of Rationalism,Spinoza
3100,Golden Ratio,Flash (camera),Rule of Thirds,Flash (camera),The others are composition rules in photography,Leading Lines
3101,Robert Frost,J.R.R. Tolkien,Walt Whitman,J.R.R. Tolkien,The others are poets who wrote about nature,Emily Dickinson
3102,Emily Dickinson,Robert Frost,J.D. Salinger,J.D. Salinger,The others are poets who wrote about death,Walt Whitman
3103,Emily Dickinson,Robert Frost,Walt Whitman,George Orwell,The others are poets who wrote about life,George Orwell
3104,Agatha Christie,Emily Dickinson,Robert Frost,Agatha Christie,The others are poets who wrote about love,Walt Whitman
3105,Walt Whitman,Robert Frost,Emily Dickinson,Ernest Hemingway,The others are poets who wrote about time,Ernest Hemingway
3106,Mark Twain,Robert Frost,Walt Whitman,Mark Twain,The others are poets who wrote about war,Emily Dickinson
3107,Robert Frost,Emily Dickinson,Walt Whitman,F. Scott Fitzgerald,The others are poets who wrote about peace,F. Scott Fitzgerald
3108,Walt Whitman,Emily Dickinson,Robert Frost,Virginia Woolf,The others are poets who wrote about humanity,Virginia Woolf
3109,Emily Dickinson,Robert Frost,Arthur Conan Doyle,Arthur Conan Doyle,The others are poets who wrote about society,Walt Whitman
3110,Walt Whitman,Robert Frost,Jules Verne,Jules Verne,The others are poets who wrote about individuality,Emily Dickinson
3111,H.G. Wells,Emily Dickinson,Walt Whitman,H.G. Wells,The others are poets who wrote about spirituality,Robert Frost
3112,Emily Dickinson,Robert Frost,Walt Whitman,James Joyce,The others are poets who wrote about philosophy,James Joyce
3113,Aldous Huxley,Emily Dickinson,Robert Frost,Aldous Huxley,The others are poets who wrote about identity,Walt Whitman
3114,Walt Whitman,Herman Melville,Robert Frost,Herman Melville,The others are poets who wrote about existence,Emily Dickinson
3115,Jack London,Robert Frost,Emily Dickinson,Jack London,The others are poets who wrote about reality,Walt Whitman
3116,Sammy Davis Jr.,Dean Martin,Frank Sinatra,Elvis Presley,The others are members of the Rat Pack,Elvis Presley
3117,Peter Tosh,Bunny Wailer,Stevie Wonder,Stevie Wonder,The others are members of The Wailers,Bob Marley
3118,Ricky Martin,Shakira,Enrique Iglesias,Enrique Iglesias,The others are Latin pop artists who have acted in films,Jennifer Lopez
3119,Aretha Franklin,Patti LaBelle,Diana Ross,Tina Turner,The others are Motown artists,Tina Turner
3120,JC Chasez,Harry Styles,Lance Bass,Harry Styles,The others are members of N'Sync,Justin Timberlake
3121,Gwen Stefani,Tony Kanal,Pink,Pink,The others are members of No Doubt,Adrian Young
3122,Peter Gabriel,Tony Banks,Mike Rutherford,Peter Gabriel,The others are members of Genesis after Peter Gabriel's departure,Phil Collins
3123,Luka Modric,Gareth Bale,Karim Benzema,Luis Suarez,The others played for Real Madrid,Luis Suarez
3124,David Beckham,Ryan Giggs,Thierry Henry,Thierry Henry,The others played for Manchester United,Paul Scholes
3125,Edge,Kurt Angle,Christian,Kurt Angle,The others are Canadian wrestlers,Chris Jericho
3126,Chavo Guerrero,Batista,Eddie Guerrero,Batista,The others are Mexican-American wrestlers,Rey Mysterio
3127,The Rock,Triple H,Shawn Michaels,The Rock,The others were part of D-Generation X,X-Pac
3128,Stone Cold,Kurt Angle,Brock Lesnar,Stone Cold,The others have backgrounds in amateur wrestling,Ronda Rousey
3129,Shawn Michaels,Diesel,Razor Ramon,Razor Ramon,The others have won the Royal Rumble match,Bret Hart
3130,Anna Freud,Donald Winnicott,Ivan Pavlov,Ivan Pavlov,The others are child psychoanalysts,Melanie Klein
3131,Mary Ainsworth,John Bowlby,Carl Jung,Carl Jung,The others are attachment theorists,Harry Harlow
3132,Solomon Asch,Carl Rogers,Stanley Milgram,Carl Rogers,The others are social psychologists,Philip Zimbardo
3133,Alfred Adler,Karen Horney,B. F. Skinner,B. F. Skinner,The others are neo-Freudians,Carl Jung
3134,Oven Mitt,Whisk,Bread Slicer,Whisk,The others are used to handle hot items.,Bakers Peel
3135,Water,Sugar,Yeast,Sugar,The others are necessary for making bread.,Flour
3136,Donut,Bagel,Muffin,Muffin,The others are made with a yeast dough.,Croissant
3137,Baking Sheet,Mixer,Measuring Cup,Baking Sheet,The others are used to mix ingredients.,Rolling Pin
3138,Baker,Butcher,Pastry Chef,Butcher,The others are involved in baking.,Sous Chef
3139,Baking,Slicing,Kneading,Slicing,The others are steps before baking.,Proofing
3140,Bread Knife,Dough Scraper,Rolling Pin,Oven,The others are tools used to handle dough.,Oven
3141,Patisserie,Bakery,Cafe,Cafe,The others specifically sell baked goods.,Boulangerie
3142,Baking Stone,Baking Steel,Baking Sheet,Pizza Peel,The others are used for baking in an oven.,Pizza Peel
3143,Paste,Dough,Frosting,Frosting,The others are stages of baking.,Batter
3144,Flour,Butter,Chocolate,Chocolate,The others are basic baking ingredients.,Eggs
3145,Muffin,Scone,Bagel,Bagel,The others are typically served with jam and cream.,Biscuit
3146,Brioche,Donut,Bagel,Donut,The others are usually not fried.,Croissant
3147,Glazing,Frying,Frosting,Frying,The others are methods used in baking.,Baking
3149,Rolling Pin,Pastry Brush,Dough Cutter,Spatula,The others are used to shape dough.,Spatula
3150,Puff Pastry,Choux Pastry,Shortcrust Pastry,Filo Pastry,The others use butter.,Filo Pastry
3151,Vodka,Vermouth,Gin,Vodka,The others are ingredients in a Negroni,Campari
3152,Flair Bartending,Cocktail Creation,Wine Tasting,Wine Tasting,The others are skills related to bartending,Mixology
3966,Apple,Pear,Peach,Tomato,The others are pome fruits.,Tomato
3153,Martini,Whiskey Sour,Old Fashioned,Martini,The others are whiskey-based cocktails,Mint Julep
3154,Captain Morgan,Bacardi,Jack Daniels,Jack Daniels,The others are rum brands,Malibu
3155,Pouring,Grinding,Stirring,Stirring,The others are steps in espresso making,Tamping
3156,Fermentation,Boiling,Mashing,Distillation,The others are stages in brewing.,Distillation
