obj_1,obj_2,obj_3,odd,reason_for_similarity,obj_4
Charles Barkley,Jeff Hornacek,Karl Malone,Charles Barkley,The others played for the Utah Jazz,John Stockton
Chris Bosh,LeBron James,Carmelo Anthony,Carmelo Anthony,The others won a championship with the Miami Heat,Dwyane Wade
Tim Duncan,Shaquille O'Neal,Pau Gasol,Tim Duncan,The others won a championship with the Los Angeles Lakers,Kobe Bryant
Shaquille O'Neal,Chris Webber,Dikembe Mutombo,Shaquille O'Neal,The others played for the Philadelphia 76ers,Allen Iverson
Magic Johnson,James Worthy,Larry Bird,Larry Bird,"The others were part of the Los Angeles Lakers' ""Showtime"" era",Kareem Abdul-Jabbar
Tony Parker,Manu Ginobili,Tim Duncan,Kobe Bryant,"The others were part of the San Antonio Spurs' ""Big Three"" era",Kobe Bryant
Mickey Mantle,Derek Jeter,Mike Trout,Mike Trout,The others played for the Yankees,Babe Ruth
Ted Williams,Joe DiMaggio,David Ortiz,Joe DiMaggio,The others played for the Red Sox,Carl Yastrzemski
Cal Ripken Jr.,Jim Palmer,Brooks Robinson,Jim Palmer,The others are position players,Frank Robinson
Barry Bonds,Hank Aaron,Willie Mays,Ty Cobb,The others are members of the 500 Home Run Club,Ty Cobb
Rollie Fingers,Yogi Berra,Reggie Jackson,Yogi Berra,The others played for the A's,Catfish Hunter
Randy Johnson,Nolan Ryan,Derek Jeter,Derek Jeter,The others are pitchers,Sandy Koufax
Roberto Clemente,Willie Stargell,Cal Ripken Jr.,Cal Ripken Jr.,The others played for the Pirates,Honus Wagner
Alex Rodriguez,Edgar Martinez,Ichiro Suzuki,Alex Rodriguez,The others played for the Mariners,Ken Griffey Jr.
Steve Carlton,Pete Rose,Joe Morgan,Joe Morgan,The others played for the Phillies,Mike Schmidt
Tony Perez,Johnny Bench,Pete Rose,Ken Griffey Sr.,The others are members of the Big Red Machine,Ken Griffey Sr.
Hank Greenberg,Ty Cobb,Al Kaline,Mickey Mantle,The others played for the Tigers,Mickey Mantle
Barry Bonds,Hank Aaron,Willie Mays,Hank Aaron,The others played for the Giants,Willie McCovey
Harmon Killebrew,Kirby Puckett,Rod Carew,Joe Mauer,The others are Hall of Famers,Joe Mauer
Evander Holyfield,Joe Frazier,Sonny Liston,Evander Holyfield,The others lost to Muhammad Ali,George Foreman
Bernard Hopkins,Joe Calzaghe,Roy Jones Jr.,Gennady Golovkin,The others have been undisputed champions,Gennady Golovkin
Wladimir Klitschko,Anthony Joshua,Vitali Klitschko,Tyson Fury,The others are Olympic medalists,Tyson Fury
Oscar De La Hoya,Manny Pacquiao,Floyd Mayweather,Vasiliy Lomachenko,The others have won titles in six different weight classes,Vasiliy Lomachenko
Joe Frazier,George Foreman,Larry Holmes,Larry Holmes,The others have won an Olympic gold medal,Muhammad Ali
Christopher Nolan,Ingmar Bergman,Danny Boyle,Ingmar Bergman,The others are British directors.,Sam Mendes
Peter Weir,Guillermo del Toro,Alejandro González Iñárritu,Peter Weir,The others are Mexican directors.,Alfonso Cuarón
Sergio Leone,Stanley Kubrick,Buster Keaton,Sergio Leone,The others have directed and acted in their own films.,Charlie Chaplin
Brian De Palma,Hayao Miyazaki,John Carpenter,Hayao Miyazaki,The others are known for their horror films.,George A. Romero
Yasujirō Ozu,Sam Raimi,Tim Burton,Yasujirō Ozu,The others have directed fantasy films.,Peter Jackson
Ron Howard,Federico Fellini,Oliver Stone,Federico Fellini,The others are directors who have also produced TV shows.,Michael Mann
David Lynch,Lars von Trier,Akira Kurosawa,Akira Kurosawa,The others are directors who have made surreal films.,Terry Gilliam
Christopher Nolan,David Fincher,Darren Aronofsky,Jean-Luc Godard,The others are directors known for their psychological thrillers.,Jean-Luc Godard
Gus Van Sant,Sofia Coppola,Richard Linklater,Pedro Almodóvar,The others are directors who have made films about adolescence.,Pedro Almodóvar
Hayao Miyazaki,Martin Scorsese,Francis Ford Coppola,Hayao Miyazaki,The others are directors associated with New Hollywood.,Brian De Palma
Guy Ritchie,Quentin Tarantino,Yasujirō Ozu,Yasujirō Ozu,The others are directors known for their use of non-linear storytelling.,Martin McDonagh
James Cameron,Steven Spielberg,George Lucas,Jean Renoir,The others are directors who have created successful film franchises.,Jean Renoir
Harry Kane,Dani Alves,Mohamed Salah,Dani Alves,The others play in the Premier League,Pierre-Emerick Aubameyang
Andres Iniesta,Karim Benzema,Xavi,Karim Benzema,The others played for Barcelona,Sergio Busquets
Arjen Robben,Thomas Muller,Eden Hazard,Eden Hazard,The others played for Bayern Munich,Franck Ribery
Angel Di Maria,N'Golo Kante,Neymar,N'Golo Kante,The others play for Paris Saint-Germain,Kylian Mbappe
Sergio Aguero,Raheem Sterling,Gabriel Jesus,Trent Alexander-Arnold,The others play for Manchester City,Trent Alexander-Arnold
Luis Suarez,Neymar,Lionel Messi,Antoine Griezmann,The others are South American,Antoine Griezmann
Sadio Mane,Virgil van Dijk,Paul Pogba,Paul Pogba,The others play for Liverpool,Mohamed Salah
Mason Mount,Harry Kane,Son Heung-min,Mason Mount,The others play for Tottenham Hotspur,Dele Alli
Alphonso Davies,Kingsley Coman,Jadon Sancho,Jadon Sancho,The others play for Bayern Munich,Robert Lewandowski
Christian Pulisic,Mason Mount,N'Golo Kante,Pierre-Emerick Aubameyang,The others play for Chelsea,Pierre-Emerick Aubameyang
Marcus Rashford,Paul Pogba,Phil Foden,Phil Foden,The others play for Manchester United,Bruno Fernandes
Marco Reus,Erling Haaland,Jadon Sancho,Kai Havertz,The others play for Borussia Dortmund,Kai Havertz
Cristiano Ronaldo,Paulo Dybala,Alvaro Morata,Romelu Lukaku,The others play for Juventus,Romelu Lukaku
Sonia Sotomayor,Sandra Day O'Connor,Elena Kagan,Amy Coney Barrett,The others are Supreme Court Justices appointed by a Democratic president,Amy Coney Barrett
Amy Coney Barrett,Neil Gorsuch,Ruth Bader Ginsburg,Ruth Bader Ginsburg,The others were appointed by President Trump,Brett Kavanaugh
Black Belt,Green Lantern,Red Belt,Green Lantern,The others are martial arts belt colors,Yellow Belt
Enter the Dragon,Rocky,Kung Fu Panda,Rocky,The others are movies about martial arts,Karate Kid
Sting,Bono,Adam Clayton,Sting,The others are members of U2,The Edge
Steven Van Zandt,Bruce Springsteen,Tom Petty,Tom Petty,The others are members of The E Street Band,Clarence Clemons
Jim Morrison,Art Garfunkel,Bob Dylan,Jim Morrison,The others are folk musicians,Paul Simon
Stevie Wonder,Mick Jagger,Billy Joel,Mick Jagger,The others are pianists,Elton John
Jerry Garcia,Neil Young,Bob Weir,Neil Young,The others are members of The Grateful Dead,Phil Lesh
Ray Manzarek,Jimi Hendrix,Robby Krieger,Jimi Hendrix,The others are members of The Doors,John Densmore
Sid Vicious,Johnny Ramone,Dee Dee Ramone,Sid Vicious,The others are members of The Ramones,Joey Ramone
Brian Johnson,Malcolm Young,Angus Young,Eddie Van Halen,The others are members of AC/DC,Eddie Van Halen
Alex Lifeson,Neil Peart,John Bonham,John Bonham,The others are members of Rush,Geddy Lee
Geezer Butler,Robert Plant,Tony Iommi,Robert Plant,The others are members of Black Sabbath,Ozzy Osbourne
Jackson Pollock,Egon Schiele,Gustav Klimt,Jackson Pollock,The others are Austrian Expressionists,Oskar Kokoschka
Domenico Ghirlandaio,Andrea del Verrocchio,Georgia O'Keeffe,Georgia O'Keeffe,The others are Italian Early Renaissance artists,Sandro Botticelli
Grant Wood,Piet Mondrian,Edward Hopper,Piet Mondrian,The others are American Realists,Thomas Hart Benton
Jean-Michel Basquiat,Keith Haring,James Whistler,James Whistler,The others are American Neo-Expressionists,Kenny Scharf
Francis Bacon,Lucian Freud,David Hockney,Mary Cassatt,The others are British Post-War painters,Mary Cassatt
Chris Ofili,Tracey Emin,Damien Hirst,Norman Rockwell,The others are British Young British Artists,Norman Rockwell
Lavinia Fontana,Artemisia Gentileschi,Sofonisba Anguissola,René Magritte,The others are Female Italian Renaissance artists,René Magritte
Georgia O'Keeffe,Salvador Dali,Frida Kahlo,Salvador Dali,The others are Female painters,Mary Cassatt
Edgar Degas,Rogier van der Weyden,Hans Memling,Edgar Degas,The others are Flemish Primitives,Jan van Eyck
Joan Miró,Anselm Kiefer,Gerhard Richter,Joan Miró,The others are German Neo-Expressionists,Sigmar Polke
Jasper Johns,Diego Rivera,Robert Rauschenberg,Diego Rivera,The others are American Abstract Expressionists,Frank Stella
Theo van Doesburg,Piet Mondrian,Kasimir Malevich,Edouard Manet,The others are Founders of abstract movements,Edouard Manet
Umberto Boccioni,Amedeo Modigliani,Giorgio de Chirico,Claude Monet,The others are Italian Modernists,Claude Monet
François Boucher,Jean-Baptiste Greuze,Jean-Honoré Fragonard,Pablo Picasso,The others are French Rococo painters,Pablo Picasso
Thomas Gainsborough,Marc Chagall,John Constable,Marc Chagall,The others are English Romantic painters,J.M.W. Turner
Cimabue,Giotto,Duccio,Gustav Klimt,The others are Italian Gothic painters,Gustav Klimt
Jean-Auguste-Dominique Ingres,Piet Mondrian,Jacques-Louis David,Piet Mondrian,The others are French Neoclassicists,Nicolas Poussin
Marx,Hegel,Kant,Marx,The others are German Idealists,Nietzsche
Confucius,Mozi,Laozi,Sartre,The others are Ancient Chinese philosophers,Sartre
Rousseau,Spinoza,Hobbes,Spinoza,The others are Social Contract theorists,Locke
Diderot,Rousseau,Berkeley,Berkeley,The others are philosophers of the French Enlightenment,Voltaire
Wittgenstein,Nietzsche,Heidegger,Wittgenstein,The others are philosophers who influenced Existentialism,Schopenhauer
Derrida,Russell,Foucault,Russell,The others are Post-structuralist philosophers,Deleuze
Hume,Descartes,Kant,Sartre,The others are philosophers who made significant contributions to Epistemology,Sartre
Aristotle,Kant,Maimonides,Kant,The others are philosophers who integrated philosophy and theology,Aquinas
Mao,Marx,Nietzsche,Nietzsche,The others are philosophers who influenced Communism,Lenin
Kierkegaard,Hegel,Marx,Kierkegaard,The others are philosophers of Dialectics,Engels
Descartes,Pascal,Voltaire,Nietzsche,The others are French philosophers,Nietzsche
Dworkin,Foucault,Nozick,Foucault,The others are philosophers of Justice,Rawls
Zeno,Epicurus,Kant,Kant,The others are philosophers of Stoicism,Seneca
Schelling,Hegel,Kant,Nietzsche,The others are philosophers of German Idealism,Nietzsche
De Beauvoir,Sartre,Russell (philosopher),Russell (philosopher),The others are philosophers of Existentialism,Camus
Nietzsche,Wittgenstein,Russell,Nietzsche,The others are philosophers of Analytic philosophy,Moore
Socrates,Plato,Kant,Kant,The others are philosophers from the Ancient period,Aristotle
Hume,Leibniz,Descartes,Hume,The others are philosophers of Rationalism,Spinoza
Golden Ratio,Flash (camera),Rule of Thirds,Flash (camera),The others are composition rules in photography,Leading Lines
Robert Frost,J.R.R. Tolkien,Walt Whitman,J.R.R. Tolkien,The others are poets who wrote about nature,Emily Dickinson
Emily Dickinson,Robert Frost,J.D. Salinger,J.D. Salinger,The others are poets who wrote about death,Walt Whitman
Emily Dickinson,Robert Frost,Walt Whitman,George Orwell,The others are poets who wrote about life,George Orwell
Agatha Christie,Emily Dickinson,Robert Frost,Agatha Christie,The others are poets who wrote about love,Walt Whitman
Walt Whitman,Robert Frost,Emily Dickinson,Ernest Hemingway,The others are poets who wrote about time,Ernest Hemingway
Mark Twain,Robert Frost,Walt Whitman,Mark Twain,The others are poets who wrote about war,Emily Dickinson
Robert Frost,Emily Dickinson,Walt Whitman,F. Scott Fitzgerald,The others are poets who wrote about peace,F. Scott Fitzgerald
Walt Whitman,Emily Dickinson,Robert Frost,Virginia Woolf,The others are poets who wrote about humanity,Virginia Woolf
Emily Dickinson,Robert Frost,Arthur Conan Doyle,Arthur Conan Doyle,The others are poets who wrote about society,Walt Whitman
Walt Whitman,Robert Frost,Jules Verne,Jules Verne,The others are poets who wrote about individuality,Emily Dickinson
H.G. Wells,Emily Dickinson,Walt Whitman,H.G. Wells,The others are poets who wrote about spirituality,Robert Frost
Emily Dickinson,Robert Frost,Walt Whitman,James Joyce,The others are poets who wrote about philosophy,James Joyce
Aldous Huxley,Emily Dickinson,Robert Frost,Aldous Huxley,The others are poets who wrote about identity,Walt Whitman
Walt Whitman,Herman Melville,Robert Frost,Herman Melville,The others are poets who wrote about existence,Emily Dickinson
Jack London,Robert Frost,Emily Dickinson,Jack London,The others are poets who wrote about reality,Walt Whitman
Sammy Davis Jr.,Dean Martin,Frank Sinatra,Elvis Presley,The others are members of the Rat Pack,Elvis Presley
Peter Tosh,Bunny Wailer,Stevie Wonder,Stevie Wonder,The others are members of The Wailers,Bob Marley
Ricky Martin,Shakira,Enrique Iglesias,Enrique Iglesias,The others are Latin pop artists who have acted in films,Jennifer Lopez
Aretha Franklin,Patti LaBelle,Diana Ross,Tina Turner,The others are Motown artists,Tina Turner
JC Chasez,Harry Styles,Lance Bass,Harry Styles,The others are members of N'Sync,Justin Timberlake
Gwen Stefani,Tony Kanal,Pink,Pink,The others are members of No Doubt,Adrian Young
Peter Gabriel,Tony Banks,Mike Rutherford,Peter Gabriel,The others are members of Genesis after Peter Gabriel's departure,Phil Collins
Luka Modric,Gareth Bale,Karim Benzema,Luis Suarez,The others played for Real Madrid,Luis Suarez
David Beckham,Ryan Giggs,Thierry Henry,Thierry Henry,The others played for Manchester United,Paul Scholes
Edge,Kurt Angle,Christian,Kurt Angle,The others are Canadian wrestlers,Chris Jericho
Chavo Guerrero,Batista,Eddie Guerrero,Batista,The others are Mexican-American wrestlers,Rey Mysterio
The Rock,Triple H,Shawn Michaels,The Rock,The others were part of D-Generation X,X-Pac
Stone Cold,Kurt Angle,Brock Lesnar,Stone Cold,The others have backgrounds in amateur wrestling,Ronda Rousey
Shawn Michaels,Diesel,Razor Ramon,Razor Ramon,The others have won the Royal Rumble match,Bret Hart
Anna Freud,Donald Winnicott,Ivan Pavlov,Ivan Pavlov,The others are child psychoanalysts,Melanie Klein
Mary Ainsworth,John Bowlby,Carl Jung,Carl Jung,The others are attachment theorists,Harry Harlow
Solomon Asch,Carl Rogers,Stanley Milgram,Carl Rogers,The others are social psychologists,Philip Zimbardo
Alfred Adler,Karen Horney,B. F. Skinner,B. F. Skinner,The others are neo-Freudians,Carl Jung
Oven Mitt,Whisk,Bread Slicer,Whisk,The others are used to handle hot items.,Bakers Peel
Water,Sugar,Yeast,Sugar,The others are necessary for making bread.,Flour
Donut,Bagel,Muffin,Muffin,The others are made with a yeast dough.,Croissant
Baking Sheet,Mixer,Measuring Cup,Baking Sheet,The others are used to mix ingredients.,Rolling Pin
Baker,Butcher,Pastry Chef,Butcher,The others are involved in baking.,Sous Chef
Baking,Slicing,Kneading,Slicing,The others are steps before baking.,Proofing
Bread Knife,Dough Scraper,Rolling Pin,Oven,The others are tools used to handle dough.,Oven
Patisserie,Bakery,Cafe,Cafe,The others specifically sell baked goods.,Boulangerie
Baking Stone,Baking Steel,Baking Sheet,Pizza Peel,The others are used for baking in an oven.,Pizza Peel
Paste,Dough,Frosting,Frosting,The others are stages of baking.,Batter
Flour,Butter,Chocolate,Chocolate,The others are basic baking ingredients.,Eggs
Muffin,Scone,Bagel,Bagel,The others are typically served with jam and cream.,Biscuit
Brioche,Donut,Bagel,Donut,The others are usually not fried.,Croissant
Glazing,Frying,Frosting,Frying,The others are methods used in baking.,Baking
Stand Mixer,Oven,Blender,Blender,The others are used for baking.,Bread Machine
Rolling Pin,Pastry Brush,Dough Cutter,Spatula,The others are used to shape dough.,Spatula
Puff Pastry,Choux Pastry,Shortcrust Pastry,Filo Pastry,The others use butter.,Filo Pastry
Vodka,Vermouth,Gin,Vodka,The others are ingredients in a Negroni,Campari
Flair Bartending,Cocktail Creation,Wine Tasting,Wine Tasting,The others are skills related to bartending,Mixology
Martini,Whiskey Sour,Old Fashioned,Martini,The others are whiskey-based cocktails,Mint Julep
Captain Morgan,Bacardi,Jack Daniels,Jack Daniels,The others are rum brands,Malibu
Pouring,Grinding,Stirring,Stirring,The others are steps in espresso making,Tamping
Fermentation,Boiling,Mashing,Distillation,The others are stages in brewing.,Distillation
Reinheitsgebot,Beer Tax Act,Three-Tier System,Prohibition,The others are beer laws.,Prohibition
Mashing,Lagering,Roasting,Roasting,The others are beer brewing processes.,Fermenting
Ale yeast,Wild yeast,Lager yeast,Baker's yeast,The others are yeasts used in brewing.,Baker's yeast
Amarone della Valpolicella,Prosecco,Valpolicella,Prosecco,The others are wines from the Valpolicella region,Recioto della Valpolicella
Kareem Abdul-Jabbar,Reggie Miller,LeBron James,Reggie Miller,The others are in the top 3 for all-time scoring.,Karl Malone
Magic Johnson,Hakeem Olajuwon,Larry Bird,Hakeem Olajuwon,The others have won 3 MVP awards.,Michael Jordan
Stephen Curry,Klay Thompson,Draymond Green,Kevin Durant,The others were drafted by the Golden State Warriors.,Kevin Durant
Karl Malone,Magic Johnson,Michael Jordan,Karl Malone,The others have won an NCAA Championship.,Larry Bird
LeBron James,Dwyane Wade,Kevin Love,Kevin Love,The others were part of the Miami Heat's 'Big Three'.,Chris Bosh
Dwight Howard,Pau Gasol,Shaquille O'Neal,Dwight Howard,The others have won a championship with the Lakers.,Kobe Bryant
